Ave U,7.0128,5.346,1/
Kings Hwy,8.2152,6.03,4/
Brighton Beach,9.3024,23.1768,1/
Sheepshead Bay,13.4712,20.682,4/
Ave U,15.0984,15.5592,1/
Kings Hwy,20.1312,21.0312,2/
Ave U,3.384,3.5856,1/
Kings Hwy,7.668,9.4932,4/
Neptune Ave,3.2904,11.412,4/
Ave X,8.028,8.3952,1/
Bay 50th St,4.4568,6.7536,1/
Gravesend - 86th St,3.888,3.1644,1/
Ave P,8.5032,6.0012,1/
Ave N,9.2808,6.5412,1/
Bay Pky,1.8216,1.3212,1/
Ave M,16.668,16.3692,1/
Bay Pky,9.4104,10.1556,1/
Ave I,6.9552,4.7052,4/
Ave J,15.6816,11.4336,1/
Ave H,5.688,5.2812,2/
Neck Rd,12.4488,20.16,1/
21st St - Queensbridge,5.6232,5.1876,2/
50th St,2.2032,7.3692,4/
7th Ave,0.3312,0.8424,4/
47th-50th Sts - Rockefeller Ctr,0.2088,0.7668,2/
57th St,0.4824,1.7316,1/
Lexington Ave - 63rd St,4.8672,9.4176,2/
Roosevelt Island - Main St,3.8808,7.4808,2/
59th St - Columbus Circle,6.1632,6.6888,2/
49th St,0.252,0.7128,4/
57th St,2.4984,7.3908,1/
5th Ave - 59th St,0.2232,2.3328,1/
Lexington Ave - 59th St,3.7944,9.1764,4/
34th St - Penn Station,0.1008,0.1728,2/
Times Sq - 42nd St,0,0.0144,2/
Fulton St,0.144,0.4032,2/
Chambers St,0.5832,0.1944,1/
42nd St - Port Authority Bus Term,4.8384,7.5708,2/
Myrtle-Willoughby Aves,12.7008,6.12,1/
Flushing Ave,32.7672,3.8592,1/
23rd St,2.6928,3.3048,1/
Herald Sq - 34th St,0.2448,0.4932,2/
Hoyt - Schermerhorn Sts,1.8432,1.2312,4/
Jay St - MetroTech,0.5616,0.1728,2/
East Broadway,10.5984,30.6648,1/
Delancey St - Essex St,1.1664,2.6784,4/
Lower East Side - 2nd Ave,3.924,14.2416,1/
Flushing Ave,7.5096,7.8552,2/
Myrtle Ave,5.076,5.562,4/
4th Av - 9th St,1.6848,1.2384,1/
Smith - 9th Sts,6.4224,5.4936,1/
Bergen St,9.0792,8.1756,1/
Jay St - MetroTech,0.9792,0.3312,2/
Court St,6.0408,5.2596,1/
Union Sq - 14th St,1.0872,1.1232,2/
23rd St,1.9224,1.9692,1/
Prospect Ave,5.3496,3.4812,1/
4th Av - 9th St,4.968,2.3256,1/
3rd Ave,3.9024,4.7196,1/
Union Sq - 14th St,0.9792,2.0268,2/
Liberty Ave,2.2248,1.134,1/
Broadway Junction,1.044,0.5076,1/
59th St,9.0504,6.912,1/
45th St,10.7784,7.4916,1/
36th St,3.5208,2.9844,4/
9th Ave,6.4296,3.3624,1/
53rd St,13.8528,7.398,1/
Ft Hamilton Pkwy,23.6016,10.458,1/
25th St,3.8952,2.1132,1/
Carroll St,14.688,7.8156,1/
Spring St,1.0296,2.268,1/
181st St,6.1416,7.902,4/
190th St,3.2256,3.3228,1/
116th St,6.516,4.806,1/
125th St,7.8336,6.5232,2/
Prince St,0.7128,1.4292,1/
8th St - NYU,2.8296,7.0668,1/
Fulton St,2.3328,3.8808,2/
Park Pl,0.2376,0.0792,1/
Chambers St,6.1344,1.9008,2/
Hoyt St,0.8928,0.2232,1/
Borough Hall,0.6048,0.486,2/
183rd St,12.132,5.3856,1/
Fordham Rd,14.1192,9.198,2/
World Trade Center,0.8928,0.2988,2/
Canal St - Holland Tunnel,0.7416,0.5976,1/
155th St,6.768,5.8068,1/
163rd St - Amsterdam Av,6.9552,6.876,1/
Fulton St,0.3168,0.0756,2/
Chambers St,2.9232,9.918,1/
Canal St,1.2312,3.7044,1/
City Hall,0.828,0.4536,1/
Canal St,0.6984,0.8532,1/
South Ferry,0.2592,0.0396,2/
Bowling Green,1.872,0.9972,2/
Wall St,0.252,0.0576,1/
Whitehall St,0.4392,0.0684,1/
Rector St,0.1368,0.0144,1/
Fresh Pond Rd,12.4056,11.7684,1/
Middle Village - Metropolitan Ave,9.0792,14.2524,2/
Rector St,4.1184,2.088,1/
Cortlandt St,4.3776,0.9648,1/
Fulton St,0.6696,0.3744,2/
Broad St,0.3672,0.0756,1/
Cortlandt St,0.3816,0.0468,2/
Wall St,3.0096,0.7164,1/
Dyckman St,7.632,7.4052,1/
Grand St,1.9512,6.1092,1/
Broadway - Lafayette St,1.0224,1.8396,2/
Bowery,1.26,3.8448,1/
Canal St,0.0864,0.144,1/
23rd St,3.5424,11.322,1/
34th St - Penn Station,1.548,2.4804,2/
Jackson Hts - Roosevelt Av,2.8512,3.8016,2/
14th St,0.9648,2.4948,4/
135th St,6.696,5.0724,1/
14th St,0.864,2.304,4/
6th Ave,1.2384,4.4928,4/
8th Ave,3.1392,5.9112,1/
14th St,2.3544,4.2732,2/
Nostrand Ave,4.7592,4.8852,1/
Clark St,2.3688,4.1256,1/
Franklin Ave,1.188,1.494,2/
Clinton - Washington Aves,6.2064,3.582,1/
Forest Ave,13.4784,8.8056,1/
110th St,6.4584,10.3824,4/
